time,T_static,T_time_dependent
0.000000e+00,5.855863e-24,5.855863e-24
7.500000e-02,3.734133e-23,3.733688e-23
1.500000e-01,1.149273e-22,1.149169e-22
2.250000e-01,1.884489e-22,1.764023e-22
3.000000e-01,3.993752e-22,2.754363e-22
3.750000e-01,1.465017e-21,5.874932e-22
4.500000e-01,7.541331e-21,2.178294e-21
5.250000e-01,4.060717e-20,1.024457e-20
6.000000e-01,2.109689e-19,4.935778e-20
6.750000e-01,1.050871e-18,2.402567e-19
7.500000e-01,5.042381e-18,1.206056e-18
8.250000e-01,2.337853e-17,6.258954e-18
9.000000e-01,1.048300e-16,3.331385e-17
9.750000e-01,4.546274e-16,1.799439e-16
1.050000e+00,1.906517e-15,9.749631e-16
1.125000e+00,7.729211e-15,5.233712e-15
1.200000e+00,3.028554e-14,2.748369e-14
1.275000e+00,1.146690e-13,1.394152e-13
1.350000e+00,4.194516e-13,6.750489e-13
1.425000e+00,1.482070e-12,3.086729e-12
1.500000e+00,5.057586e-12,1.320910e-11
1.575000e+00,1.666679e-11,5.252719e-11
1.650000e+00,5.303376e-11,1.931261e-10
1.725000e+00,1.629338e-10,6.544423e-10
1.800000e+00,4.832871e-10,2.040590e-09
1.875000e+00,1.383949e-09,5.850462e-09
1.950000e+00,3.826047e-09,1.541730e-08
2.025000e+00,1.021173e-08,3.731693e-08
2.100000e+00,2.631349e-08,8.283248e-08
2.175000e+00,6.546470e-08,1.681348e-07
2.250000e+00,1.572579e-07,3.107416e-07
2.325000e+00,3.647777e-07,5.199086e-07
2.400000e+00,8.171381e-07,7.821720e-07
2.475000e+00,1.767915e-06,1.051232e-06
2.550000e+00,3.694702e-06,1.259284e-06
2.625000e+00,7.459472e-06,1.365323e-06
2.700000e+00,1.455162e-05,1.441641e-06
2.775000e+00,2.743203e-05,1.789868e-06
2.850000e+00,4.998280e-05,3.105600e-06
2.925000e+00,8.803911e-05,6.806068e-06
3.000000e+00,1.499350e-04,1.582922e-05
3.075000e+00,2.469366e-04,3.658441e-05
3.150000e+00,3.933764e-04,8.345503e-05
3.225000e+00,6.062605e-04,1.885319e-04
3.300000e+00,9.041249e-04,4.210507e-04
3.375000e+00,1.304994e-03,9.223094e-04
3.450000e+00,1.823458e-03,1.959657e-03
3.525000e+00,2.467122e-03,3.992554e-03
3.600000e+00,3.232960e-03,7.721877e-03
3.675000e+00,4.104335e-03,1.406865e-02
3.750000e+00,5.049535e-03,2.402487e-02
3.825000e+00,6.022590e-03,3.836304e-02
3.900000e+00,6.966772e-03,5.727639e-02
3.975000e+00,7.820638e-03,8.009360e-02
4.050000e+00,8.525869e-03,1.052106e-01
4.125000e+00,9.035583e-03,1.303041e-01
4.200000e+00,9.321545e-03,1.527939e-01
4.275000e+00,9.378734e-03,1.704491e-01
4.350000e+00,9.226234e-03,1.819811e-01
4.425000e+00,8.904136e-03,1.874214e-01
4.500000e+00,8.467032e-03,1.880872e-01
4.575000e+00,7.975404e-03,1.860782e-01
4.650000e+00,7.486649e-03,1.834995e-01
4.725000e+00,7.047459e-03,1.817882e-01
4.800000e+00,6.688903e-03,1.814483e-01
4.875000e+00,6.424811e-03,1.822266e-01
4.950000e+00,6.253340e-03,1.835191e-01
5.025000e+00,6.160912e-03,1.847536e-01
5.100000e+00,6.127332e-03,1.855984e-01
5.175000e+00,6.130864e-03,1.859852e-01
5.250000e+00,6.152275e-03,1.860181e-01
5.325000e+00,6.177280e-03,1.858587e-01
5.400000e+00,6.197319e-03,1.856469e-01
5.475000e+00,6.208971e-03,1.854685e-01
5.550000e+00,6.212535e-03,1.853584e-01
5.625000e+00,6.210351e-03,1.853174e-01
5.700000e+00,6.205323e-03,1.853299e-01
5.775000e+00,6.199910e-03,1.853757e-01
5.850000e+00,6.195651e-03,1.854374e-01
5.925000e+00,6.193131e-03,1.855026e-01
6.000000e+00,6.192227e-03,1.855639e-01
6.075000e+00,6.192440e-03,1.856179e-01
6.150000e+00,6.193201e-03,1.856637e-01
6.225000e+00,6.194057e-03,1.857017e-01
6.300000e+00,6.194749e-03,1.857330e-01
6.375000e+00,6.195193e-03,1.857589e-01
6.450000e+00,6.195422e-03,1.857809e-01
6.525000e+00,6.195515e-03,1.858003e-01
6.600000e+00,6.195551e-03,1.858181e-01
6.675000e+00,6.195582e-03,1.858347e-01
6.750000e+00,6.195631e-03,1.858502e-01
6.825000e+00,6.195696e-03,1.858642e-01
6.900000e+00,6.195769e-03,1.858765e-01
6.975000e+00,6.195839e-03,1.858872e-01
7.050000e+00,6.195900e-03,1.858965e-01
7.125000e+00,6.195951e-03,1.859047e-01
7.200000e+00,6.195991e-03,1.859119e-01
7.275000e+00,6.196025e-03,1.859184e-01
7.350000e+00,6.196054e-03,1.859243e-01
7.425000e+00,6.196079e-03,1.859296e-01
7.500000e+00,6.196102e-03,1.859344e-01
7.575000e+00,6.196122e-03,1.859386e-01
7.650000e+00,6.196140e-03,1.859424e-01
7.725000e+00,6.196156e-03,1.859458e-01
7.800000e+00,6.196169e-03,1.859487e-01
7.875000e+00,6.196181e-03,1.859512e-01
7.950000e+00,6.196191e-03,1.859533e-01
8.025000e+00,6.196200e-03,1.859551e-01
8.100000e+00,6.196208e-03,1.859566e-01
8.175000e+00,6.196214e-03,1.859579e-01
8.250000e+00,6.196220e-03,1.859589e-01
8.325000e+00,6.196226e-03,1.859598e-01
8.400000e+00,6.196230e-03,1.859606e-01
8.475000e+00,6.196234e-03,1.859612e-01
8.550000e+00,6.196238e-03,1.859617e-01
8.625000e+00,6.196241e-03,1.859622e-01
8.700000e+00,6.196243e-03,1.859626e-01
8.775000e+00,6.196246e-03,1.859629e-01
8.850000e+00,6.196248e-03,1.859633e-01
8.925000e+00,6.196249e-03,1.859635e-01
9.000000e+00,6.196251e-03,1.859638e-01
9.075000e+00,6.196252e-03,1.859640e-01
9.150000e+00,6.196253e-03,1.859642e-01
9.225000e+00,6.196254e-03,1.859644e-01
9.300000e+00,6.196255e-03,1.859645e-01
9.375000e+00,6.196256e-03,1.859647e-01
9.450000e+00,6.196257e-03,1.859648e-01
9.525000e+00,6.196257e-03,1.859649e-01
9.600000e+00,6.196258e-03,1.859650e-01
9.675000e+00,6.196258e-03,1.859651e-01
9.750000e+00,6.196259e-03,1.859652e-01
9.825000e+00,6.196259e-03,1.859653e-01
9.900000e+00,6.196259e-03,1.859653e-01
9.975000e+00,6.196260e-03,1.859654e-01
1.005000e+01,6.196260e-03,1.859654e-01
1.012500e+01,6.196260e-03,1.859655e-01
1.020000e+01,6.196260e-03,1.859655e-01
1.027500e+01,6.196260e-03,1.859655e-01
1.035000e+01,6.196260e-03,1.859655e-01
1.042500e+01,6.196261e-03,1.859656e-01
1.050000e+01,6.196261e-03,1.859656e-01
1.057500e+01,6.196261e-03,1.859656e-01
1.065000e+01,6.196261e-03,1.859656e-01
1.072500e+01,6.196261e-03,1.859656e-01
1.080000e+01,6.196261e-03,1.859656e-01
1.087500e+01,6.196261e-03,1.859656e-01
1.095000e+01,6.196261e-03,1.859656e-01
1.102500e+01,6.196261e-03,1.859656e-01
1.110000e+01,6.196261e-03,1.859656e-01
1.117500e+01,6.196261e-03,1.859656e-01
1.125000e+01,6.196261e-03,1.859657e-01
1.132500e+01,6.196261e-03,1.859657e-01
1.140000e+01,6.196261e-03,1.859657e-01
1.147500e+01,6.196261e-03,1.859657e-01
1.155000e+01,6.196261e-03,1.859657e-01
1.162500e+01,6.196261e-03,1.859657e-01
1.170000e+01,6.196261e-03,1.859657e-01
1.177500e+01,6.196261e-03,1.859657e-01
1.185000e+01,6.196261e-03,1.859657e-01
1.192500e+01,6.196261e-03,1.859657e-01
1.200000e+01,6.196261e-03,1.859657e-01
1.207500e+01,6.196261e-03,1.859657e-01
1.215000e+01,6.196261e-03,1.859657e-01
1.222500e+01,6.196261e-03,1.859657e-01
1.230000e+01,6.196261e-03,1.859657e-01
1.237500e+01,6.196261e-03,1.859657e-01
1.245000e+01,6.196261e-03,1.859657e-01
1.252500e+01,6.196261e-03,1.859657e-01
1.260000e+01,6.196261e-03,1.859657e-01
1.267500e+01,6.196261e-03,1.859657e-01
1.275000e+01,6.196261e-03,1.859657e-01
1.282500e+01,6.196261e-03,1.859657e-01
1.290000e+01,6.196261e-03,1.859657e-01
1.297500e+01,6.196261e-03,1.859657e-01
1.305000e+01,6.196261e-03,1.859657e-01
1.312500e+01,6.196261e-03,1.859657e-01
1.320000e+01,6.196261e-03,1.859657e-01
1.327500e+01,6.196261e-03,1.859657e-01
1.335000e+01,6.196261e-03,1.859657e-01
1.342500e+01,6.196261e-03,1.859657e-01
1.350000e+01,6.196261e-03,1.859657e-01
1.357500e+01,6.196261e-03,1.859657e-01
1.365000e+01,6.196261e-03,1.859657e-01
1.372500e+01,6.196261e-03,1.859657e-01
1.380000e+01,6.196261e-03,1.859657e-01
1.387500e+01,6.196261e-03,1.859657e-01
1.395000e+01,6.196261e-03,1.859657e-01
1.402500e+01,6.196261e-03,1.859657e-01
1.410000e+01,6.196261e-03,1.859657e-01
1.417500e+01,6.196261e-03,1.859657e-01
1.425000e+01,6.196261e-03,1.859657e-01
1.432500e+01,6.196261e-03,1.859657e-01
1.440000e+01,6.196261e-03,1.859657e-01
1.447500e+01,6.196261e-03,1.859657e-01
1.455000e+01,6.196261e-03,1.859657e-01
1.462500e+01,6.196261e-03,1.859657e-01
1.470000e+01,6.196261e-03,1.859657e-01
1.477500e+01,6.196261e-03,1.859657e-01
1.485000e+01,6.196261e-03,1.859657e-01
1.492500e+01,6.196261e-03,1.859657e-01
1.500000e+01,6.196261e-03,1.859657e-01
