time,norm,energy
0.000000e+00,1.000000e+00,1.226916e+01
7.500000e-02,1.000000e+00,1.226916e+01
1.500000e-01,1.000000e+00,1.226916e+01
2.250000e-01,1.000000e+00,1.226916e+01
3.000000e-01,1.000000e+00,1.226916e+01
3.750000e-01,1.000000e+00,1.226916e+01
4.500000e-01,1.000000e+00,1.226916e+01
5.250000e-01,1.000000e+00,1.226916e+01
6.000000e-01,1.000000e+00,1.226916e+01
6.750000e-01,1.000000e+00,1.226916e+01
7.500000e-01,1.000000e+00,1.226916e+01
8.250000e-01,1.000000e+00,1.226916e+01
9.000000e-01,1.000000e+00,1.226916e+01
9.750000e-01,1.000000e+00,1.226916e+01
1.050000e+00,1.000000e+00,1.226916e+01
1.125000e+00,1.000000e+00,1.226916e+01
1.200000e+00,1.000000e+00,1.226916e+01
1.275000e+00,1.000000e+00,1.226916e+01
1.350000e+00,1.000000e+00,1.226916e+01
1.425000e+00,1.000000e+00,1.226916e+01
1.500000e+00,1.000000e+00,1.226916e+01
1.575000e+00,1.000000e+00,1.226916e+01
1.650000e+00,1.000000e+00,1.226916e+01
1.725000e+00,1.000000e+00,1.226916e+01
1.800000e+00,1.000000e+00,1.226916e+01
1.875000e+00,1.000000e+00,1.226916e+01
1.950000e+00,1.000000e+00,1.226916e+01
2.025000e+00,1.000000e+00,1.226916e+01
2.100000e+00,1.000000e+00,1.226916e+01
2.175000e+00,1.000000e+00,1.226916e+01
2.250000e+00,1.000000e+00,1.226916e+01
2.325000e+00,1.000000e+00,1.226916e+01
2.400000e+00,1.000000e+00,1.226916e+01
2.475000e+00,1.000000e+00,1.226916e+01
2.550000e+00,1.000000e+00,1.226916e+01
2.625000e+00,1.000000e+00,1.226916e+01
2.700000e+00,1.000000e+00,1.226916e+01
2.775000e+00,1.000000e+00,1.226916e+01
2.850000e+00,1.000000e+00,1.226916e+01
2.925000e+00,1.000000e+00,1.226916e+01
3.000000e+00,1.000000e+00,1.226916e+01
3.075000e+00,1.000000e+00,1.226916e+01
3.150000e+00,1.000000e+00,1.226916e+01
3.225000e+00,1.000000e+00,1.226916e+01
3.300000e+00,1.000000e+00,1.226916e+01
3.375000e+00,1.000000e+00,1.226916e+01
3.450000e+00,1.000000e+00,1.226916e+01
3.525000e+00,1.000000e+00,1.226916e+01
3.600000e+00,1.000000e+00,1.226916e+01
3.675000e+00,1.000000e+00,1.226916e+01
3.750000e+00,1.000000e+00,1.226916e+01
3.825000e+00,1.000000e+00,1.226916e+01
3.900000e+00,1.000000e+00,1.226916e+01
3.975000e+00,1.000000e+00,1.226916e+01
4.050000e+00,1.000000e+00,1.226916e+01
4.125000e+00,1.000000e+00,1.226916e+01
4.200000e+00,1.000000e+00,1.226916e+01
4.275000e+00,1.000000e+00,1.226916e+01
4.350000e+00,1.000000e+00,1.226916e+01
4.425000e+00,1.000000e+00,1.226916e+01
4.500000e+00,1.000000e+00,1.226916e+01
4.575000e+00,1.000000e+00,1.226916e+01
4.650000e+00,1.000000e+00,1.226916e+01
4.725000e+00,1.000000e+00,1.226916e+01
4.800000e+00,1.000000e+00,1.226916e+01
4.875000e+00,1.000000e+00,1.226916e+01
4.950000e+00,1.000000e+00,1.226916e+01
5.025000e+00,1.000000e+00,1.226916e+01
5.100000e+00,1.000000e+00,1.226916e+01
5.175000e+00,1.000000e+00,1.226916e+01
5.250000e+00,1.000000e+00,1.226916e+01
5.325000e+00,1.000000e+00,1.226916e+01
5.400000e+00,1.000000e+00,1.226916e+01
5.475000e+00,1.000000e+00,1.226916e+01
5.550000e+00,1.000000e+00,1.226916e+01
5.625000e+00,1.000000e+00,1.226916e+01
5.700000e+00,1.000000e+00,1.226916e+01
5.775000e+00,1.000000e+00,1.226916e+01
5.850000e+00,1.000000e+00,1.226916e+01
5.925000e+00,1.000000e+00,1.226916e+01
6.000000e+00,1.000000e+00,1.226916e+01
6.075000e+00,1.000000e+00,1.226916e+01
6.150000e+00,1.000000e+00,1.226916e+01
6.225000e+00,1.000000e+00,1.226916e+01
6.300000e+00,1.000000e+00,1.226916e+01
6.375000e+00,1.000000e+00,1.226916e+01
6.450000e+00,1.000000e+00,1.226916e+01
6.525000e+00,1.000000e+00,1.226916e+01
6.600000e+00,1.000000e+00,1.226916e+01
6.675000e+00,1.000000e+00,1.226916e+01
6.750000e+00,1.000000e+00,1.226916e+01
6.825000e+00,1.000000e+00,1.226916e+01
6.900000e+00,1.000000e+00,1.226916e+01
6.975000e+00,1.000000e+00,1.226916e+01
7.050000e+00,1.000000e+00,1.226916e+01
7.125000e+00,1.000000e+00,1.226916e+01
7.200000e+00,1.000000e+00,1.226916e+01
7.275000e+00,1.000000e+00,1.226916e+01
7.350000e+00,1.000000e+00,1.226916e+01
7.425000e+00,1.000000e+00,1.226916e+01
7.500000e+00,1.000000e+00,1.226916e+01
7.575000e+00,1.000000e+00,1.226916e+01
7.650000e+00,1.000000e+00,1.226916e+01
7.725000e+00,1.000000e+00,1.226916e+01
7.800000e+00,1.000000e+00,1.226916e+01
7.875000e+00,1.000000e+00,1.226916e+01
7.950000e+00,1.000000e+00,1.226916e+01
8.025000e+00,1.000000e+00,1.226916e+01
8.100000e+00,1.000000e+00,1.226916e+01
8.175000e+00,1.000000e+00,1.226916e+01
8.250000e+00,1.000000e+00,1.226916e+01
8.325000e+00,1.000000e+00,1.226916e+01
8.400000e+00,1.000000e+00,1.226916e+01
8.475000e+00,1.000000e+00,1.226916e+01
8.550000e+00,1.000000e+00,1.226916e+01
8.625000e+00,1.000000e+00,1.226916e+01
8.700000e+00,1.000000e+00,1.226916e+01
8.775000e+00,1.000000e+00,1.226916e+01
8.850000e+00,1.000000e+00,1.226916e+01
8.925000e+00,1.000000e+00,1.226916e+01
9.000000e+00,1.000000e+00,1.226916e+01
9.075000e+00,1.000000e+00,1.226916e+01
9.150000e+00,1.000000e+00,1.226916e+01
9.225000e+00,1.000000e+00,1.226916e+01
9.300000e+00,1.000000e+00,1.226916e+01
9.375000e+00,1.000000e+00,1.226916e+01
9.450000e+00,1.000000e+00,1.226916e+01
9.525000e+00,1.000000e+00,1.226916e+01
9.600000e+00,1.000000e+00,1.226916e+01
9.675000e+00,1.000000e+00,1.226916e+01
9.750000e+00,1.000000e+00,1.226916e+01
9.825000e+00,1.000000e+00,1.226916e+01
9.900000e+00,1.000000e+00,1.226916e+01
9.975000e+00,1.000000e+00,1.226916e+01
1.005000e+01,1.000000e+00,1.226916e+01
1.012500e+01,1.000000e+00,1.226916e+01
1.020000e+01,1.000000e+00,1.226916e+01
1.027500e+01,1.000000e+00,1.226916e+01
1.035000e+01,1.000000e+00,1.226916e+01
1.042500e+01,1.000000e+00,1.226916e+01
1.050000e+01,1.000000e+00,1.226916e+01
1.057500e+01,1.000000e+00,1.226916e+01
1.065000e+01,1.000000e+00,1.226916e+01
1.072500e+01,1.000000e+00,1.226916e+01
1.080000e+01,1.000000e+00,1.226916e+01
1.087500e+01,1.000000e+00,1.226916e+01
1.095000e+01,1.000000e+00,1.226916e+01
1.102500e+01,1.000000e+00,1.226916e+01
1.110000e+01,1.000000e+00,1.226916e+01
1.117500e+01,1.000000e+00,1.226916e+01
1.125000e+01,1.000000e+00,1.226916e+01
1.132500e+01,1.000000e+00,1.226916e+01
1.140000e+01,1.000000e+00,1.226916e+01
1.147500e+01,1.000000e+00,1.226916e+01
1.155000e+01,1.000000e+00,1.226916e+01
1.162500e+01,1.000000e+00,1.226916e+01
1.170000e+01,1.000000e+00,1.226916e+01
1.177500e+01,1.000000e+00,1.226916e+01
1.185000e+01,1.000000e+00,1.226916e+01
1.192500e+01,1.000000e+00,1.226916e+01
1.200000e+01,1.000000e+00,1.226916e+01
1.207500e+01,1.000000e+00,1.226916e+01
1.215000e+01,1.000000e+00,1.226916e+01
1.222500e+01,1.000000e+00,1.226916e+01
1.230000e+01,1.000000e+00,1.226916e+01
1.237500e+01,1.000000e+00,1.226916e+01
1.245000e+01,1.000000e+00,1.226916e+01
1.252500e+01,1.000000e+00,1.226916e+01
1.260000e+01,1.000000e+00,1.226916e+01
1.267500e+01,1.000000e+00,1.226916e+01
1.275000e+01,1.000000e+00,1.226916e+01
1.282500e+01,1.000000e+00,1.226916e+01
1.290000e+01,1.000000e+00,1.226916e+01
1.297500e+01,1.000000e+00,1.226916e+01
1.305000e+01,1.000000e+00,1.226916e+01
1.312500e+01,1.000000e+00,1.226916e+01
1.320000e+01,1.000000e+00,1.226916e+01
1.327500e+01,1.000000e+00,1.226916e+01
1.335000e+01,1.000000e+00,1.226916e+01
1.342500e+01,1.000000e+00,1.226916e+01
1.350000e+01,1.000000e+00,1.226916e+01
1.357500e+01,1.000000e+00,1.226916e+01
1.365000e+01,1.000000e+00,1.226916e+01
1.372500e+01,1.000000e+00,1.226916e+01
1.380000e+01,1.000000e+00,1.226916e+01
1.387500e+01,1.000000e+00,1.226916e+01
1.395000e+01,1.000000e+00,1.226916e+01
1.402500e+01,1.000000e+00,1.226916e+01
1.410000e+01,1.000000e+00,1.226916e+01
1.417500e+01,1.000000e+00,1.226916e+01
1.425000e+01,1.000000e+00,1.226916e+01
1.432500e+01,1.000000e+00,1.226916e+01
1.440000e+01,1.000000e+00,1.226916e+01
1.447500e+01,1.000000e+00,1.226916e+01
1.455000e+01,1.000000e+00,1.226916e+01
1.462500e+01,1.000000e+00,1.226916e+01
1.470000e+01,1.000000e+00,1.226916e+01
1.477500e+01,1.000000e+00,1.226916e+01
1.485000e+01,1.000000e+00,1.226916e+01
1.492500e+01,1.000000e+00,1.226916e+01
1.500000e+01,1.000000e+00,1.226916e+01
