energy_E,rho_E
7.700999e-04,1.310008e-30
6.930899e-03,6.244751e-31
1.925250e-02,2.780616e-31
3.773490e-02,1.384072e-31
6.237809e-02,1.388704e-31
9.318209e-02,1.877343e-31
1.301469e-01,1.423154e-31
1.732725e-01,5.165090e-32
2.225589e-01,7.225551e-32
2.780061e-01,4.589851e-32
3.396141e-01,5.727037e-32
4.073829e-01,4.268800e-32
4.813124e-01,8.260515e-32
5.614028e-01,8.527865e-32
6.476540e-01,4.710568e-32
7.400660e-01,3.321981e-32
8.386388e-01,6.546113e-32
9.433724e-01,5.217809e-32
1.054267e+00,1.570760e-32
1.171322e+00,3.827226e-32
1.294538e+00,4.293539e-32
1.423915e+00,2.682458e-32
1.559452e+00,2.176183e-32
1.701151e+00,3.225532e-32
1.849010e+00,5.492182e-32
2.003030e+00,7.611988e-32
2.163211e+00,2.167904e-30
2.329552e+00,6.725664e-29
2.502055e+00,2.146206e-27
2.680718e+00,6.312441e-26
2.865542e+00,1.691078e-24
3.056527e+00,4.111959e-23
3.253672e+00,9.070118e-22
3.456979e+00,1.814600e-20
3.666446e+00,3.292518e-19
3.882074e+00,5.417895e-18
4.103862e+00,8.084779e-17
4.331812e+00,1.094012e-15
4.565922e+00,1.342380e-14
4.806194e+00,1.493524e-13
5.052626e+00,1.506669e-12
5.305218e+00,1.378094e-11
5.563972e+00,1.142832e-10
5.828886e+00,8.592444e-10
6.099961e+00,5.856943e-09
6.377197e+00,3.619388e-08
6.660594e+00,2.027680e-07
6.950152e+00,1.029805e-06
7.245870e+00,4.741257e-06
7.547749e+00,1.978823e-05
7.855789e+00,7.486661e-05
8.169990e+00,2.567616e-04
8.490352e+00,7.982265e-04
8.816874e+00,2.249418e-03
9.149557e+00,5.745878e-03
9.488401e+00,1.330391e-02
9.833406e+00,2.792115e-02
1.018457e+01,5.311461e-02
1.054190e+01,9.158333e-02
1.090538e+01,1.431318e-01
1.127503e+01,2.027538e-01
1.165084e+01,2.603219e-01
1.203281e+01,3.029408e-01
1.242094e+01,3.195262e-01
1.281523e+01,3.054592e-01
1.321568e+01,2.646639e-01
1.362230e+01,2.078394e-01
1.403507e+01,1.479277e-01
1.445401e+01,9.542386e-02
1.487910e+01,5.578884e-02
1.531036e+01,2.956093e-02
1.574777e+01,1.419602e-02
1.619135e+01,6.178603e-03
1.664109e+01,2.437177e-03
1.709699e+01,8.712739e-04
1.755905e+01,2.822870e-04
1.802727e+01,8.288840e-05
1.850165e+01,2.205775e-05
1.898219e+01,5.319751e-06
1.946890e+01,1.162739e-06
1.996176e+01,2.303203e-07
2.046078e+01,4.134660e-08
2.096597e+01,6.726715e-09
2.147732e+01,9.917916e-10
2.199482e+01,1.325228e-10
2.251849e+01,1.604767e-11
2.304832e+01,1.761096e-12
2.358431e+01,1.751469e-13
2.412646e+01,1.578589e-14
2.467477e+01,1.289382e-15
2.522924e+01,9.544183e-17
2.578988e+01,6.402348e-18
2.635667e+01,3.892082e-19
2.692962e+01,2.144204e-20
2.750874e+01,1.070507e-21
2.809402e+01,4.843414e-23
2.868545e+01,1.985828e-24
2.928305e+01,7.377744e-26
2.988681e+01,2.489737e-27
3.049673e+01,8.351067e-29
3.111281e+01,9.265651e-30
3.173505e+01,5.455944e-30
3.236345e+01,3.713500e-30
3.299801e+01,2.292037e-30
3.363873e+01,1.203840e-30
3.428562e+01,7.110638e-31
3.493866e+01,3.291851e-31
3.559787e+01,2.220631e-31
3.626324e+01,1.532010e-31
3.693476e+01,1.341730e-31
3.761245e+01,8.852397e-32
3.829630e+01,8.488881e-32
3.898631e+01,7.094507e-32
3.968248e+01,6.345498e-32
4.038481e+01,6.892845e-32
4.109330e+01,7.467743e-32
4.180795e+01,6.513323e-32
4.252877e+01,6.193419e-32
4.325574e+01,4.484940e-32
4.398888e+01,4.447945e-32
4.472817e+01,2.971949e-32
4.547363e+01,3.484486e-32
4.622525e+01,3.479444e-32
4.698303e+01,4.578620e-32
4.774697e+01,3.115482e-32
4.851706e+01,3.702882e-32
4.929333e+01,2.060570e-32
5.007575e+01,2.562650e-32
5.086433e+01,1.758825e-32
5.165907e+01,2.376106e-32
5.245998e+01,1.842678e-32
5.326704e+01,2.799207e-32
5.408027e+01,2.237753e-32
5.489965e+01,2.310728e-32
5.572520e+01,1.808442e-32
5.655691e+01,2.057894e-32
5.739478e+01,1.757089e-32
5.823881e+01,1.705846e-32
5.908900e+01,1.673897e-32
5.994535e+01,2.053825e-32
6.080786e+01,1.895368e-32
6.167653e+01,1.893634e-32
6.255137e+01,1.661578e-32
6.343236e+01,1.568257e-32
6.431952e+01,1.222404e-32
6.521283e+01,1.142911e-32
6.611231e+01,1.196315e-32
6.701795e+01,1.609154e-32
6.792974e+01,1.604622e-32
6.884770e+01,1.897668e-32
6.977182e+01,1.135528e-32
7.070210e+01,9.567103e-33
7.163854e+01,1.300176e-32
7.258115e+01,7.104950e-33
7.352991e+01,1.450779e-32
7.448483e+01,9.734190e-33
7.544592e+01,1.192781e-32
7.641316e+01,1.086937e-32
7.738657e+01,1.539091e-32
7.836614e+01,1.186196e-32
7.935187e+01,9.154732e-33
8.034375e+01,7.223410e-33
8.134180e+01,9.971649e-33
8.234601e+01,1.090261e-32
8.335639e+01,6.595102e-33
8.437292e+01,1.320851e-32
8.539561e+01,7.811200e-33
8.642446e+01,1.094467e-32
8.745948e+01,1.117172e-32
8.850065e+01,7.252842e-33
8.954799e+01,7.567039e-33
9.060149e+01,1.265935e-32
9.166114e+01,1.104725e-32
9.272696e+01,1.255809e-32
9.379894e+01,1.460754e-32
9.487708e+01,1.224458e-32
9.596138e+01,1.567618e-32
9.705184e+01,1.341346e-32
9.814846e+01,1.014124e-32
9.925125e+01,1.364687e-32
1.003602e+02,1.249249e-32
1.014753e+02,1.365285e-32
1.025966e+02,1.772295e-32
1.037240e+02,1.453288e-32
1.048576e+02,1.575729e-32
1.059973e+02,1.119337e-32
1.071432e+02,1.506818e-32
1.082953e+02,1.516286e-32
1.094535e+02,9.053907e-33
1.106179e+02,1.799701e-32
1.117885e+02,2.418531e-32
1.129652e+02,1.229554e-32
1.141481e+02,2.096331e-32
1.153371e+02,2.084069e-32
1.165323e+02,1.830024e-32
1.177336e+02,1.793114e-32
1.189412e+02,1.862871e-32
1.201548e+02,2.313797e-32
1.213747e+02,2.283897e-32
1.226007e+02,2.632971e-32
1.238328e+02,3.204134e-32
1.250712e+02,3.200055e-32
1.263156e+02,2.747704e-32
1.275663e+02,3.047457e-32
1.288231e+02,3.151742e-32
1.300860e+02,2.778318e-32
1.313552e+02,3.641173e-32
1.326305e+02,5.618250e-32
1.339119e+02,5.932918e-32
1.351995e+02,4.614901e-32
1.364933e+02,5.340050e-32
1.377932e+02,7.260235e-32
1.390993e+02,7.586132e-32
1.404115e+02,1.734456e-31
1.417300e+02,3.274643e-31
1.430545e+02,5.697885e-31
1.443853e+02,1.013097e-30
1.457222e+02,1.570272e-30
1.470652e+02,2.189906e-30
1.484144e+02,2.999110e-30
1.497698e+02,3.700082e-30
1.511313e+02,4.348783e-30
1.524990e+02,4.756492e-30
1.538729e+02,5.012751e-30
1.552529e+02,5.009875e-30
1.566391e+02,4.773465e-30
1.580314e+02,4.405938e-30
1.594299e+02,3.794164e-30
1.608346e+02,3.046172e-30
1.622454e+02,2.246353e-30
1.636624e+02,1.483047e-30
1.650855e+02,9.393782e-31
1.665149e+02,5.552945e-31
1.679503e+02,3.124800e-31
1.693919e+02,1.782741e-31
1.708397e+02,1.098354e-31
1.722937e+02,8.159548e-32
1.737538e+02,6.062485e-32
1.752201e+02,4.822359e-32
1.766925e+02,6.026143e-32
1.781711e+02,6.628531e-32
1.796558e+02,6.372129e-32
1.811468e+02,6.273013e-32
1.826438e+02,5.778496e-32
1.841471e+02,5.454960e-32
1.856565e+02,5.451055e-32
1.871720e+02,5.118908e-32
1.886937e+02,3.737518e-32
1.902216e+02,3.086653e-32
1.917556e+02,2.283956e-32
1.932958e+02,4.283584e-32
1.948422e+02,1.339958e-31
1.963947e+02,2.604536e-31
1.979534e+02,4.457467e-31
1.995183e+02,6.071650e-31
2.010893e+02,6.778156e-31
2.026664e+02,6.818748e-31
2.042498e+02,5.915996e-31
2.058392e+02,4.474322e-31
2.074349e+02,2.866371e-31
2.090367e+02,1.664498e-31
2.106447e+02,7.814238e-32
2.122588e+02,2.822620e-32
2.138791e+02,1.182634e-32
2.155055e+02,8.023840e-33
2.171381e+02,1.304637e-32
2.187769e+02,1.958569e-32
2.204218e+02,2.766486e-32
2.220729e+02,2.715732e-32
2.237302e+02,1.785343e-32
2.253936e+02,1.773334e-32
2.270632e+02,1.189543e-32
2.287389e+02,1.132379e-32
2.304208e+02,1.032386e-32
2.321089e+02,2.002562e-32
2.338031e+02,1.305065e-32
2.355035e+02,9.607413e-33
2.372100e+02,1.162290e-32
2.389227e+02,7.398528e-33
2.406416e+02,7.506334e-33
2.423666e+02,5.931758e-33
2.440978e+02,6.544343e-33
2.458351e+02,6.570322e-33
2.475787e+02,8.757591e-33
2.493283e+02,8.302773e-33
2.510841e+02,8.778573e-33
2.528461e+02,6.939276e-33
2.546143e+02,4.282589e-33
2.563886e+02,3.524546e-33
2.581691e+02,3.126996e-33
2.599557e+02,3.246118e-33
2.617485e+02,3.844903e-33
2.635474e+02,4.472128e-33
2.653526e+02,4.584048e-33
2.671638e+02,6.101711e-33
2.689813e+02,5.412972e-33
2.708049e+02,5.707740e-33
2.726346e+02,3.028416e-33
2.744705e+02,3.578909e-33
2.763126e+02,4.217133e-33
2.781609e+02,3.409925e-33
2.800153e+02,4.610980e-33
2.818758e+02,3.942868e-33
2.837425e+02,4.770820e-33
2.856154e+02,2.655838e-33
2.874945e+02,4.789177e-33
2.893797e+02,4.002906e-33
2.912710e+02,3.070159e-33
2.931686e+02,3.397347e-33
2.950723e+02,2.976587e-33
2.969821e+02,4.893124e-33
2.988981e+02,2.995323e-33
3.008203e+02,5.140565e-33
3.027486e+02,1.232212e-33
3.046831e+02,3.841677e-33
3.066238e+02,2.704438e-33
3.085706e+02,2.721955e-33
3.105235e+02,5.351236e-33
3.124827e+02,2.979234e-33
3.144480e+02,4.083758e-33
3.164194e+02,2.066494e-33
3.183970e+02,1.910329e-33
3.203808e+02,4.719396e-33
3.223708e+02,1.403203e-33
3.243669e+02,3.612301e-33
3.263691e+02,3.830451e-33
3.283775e+02,3.551936e-33
3.303921e+02,2.076689e-33
3.324129e+02,2.451855e-33
3.344398e+02,3.410073e-33
3.364728e+02,2.533778e-33
3.385121e+02,3.710608e-33
3.405574e+02,2.267319e-33
3.426090e+02,4.143576e-33
3.446667e+02,4.163109e-33
3.467306e+02,2.940118e-33
3.488006e+02,4.262270e-33
3.508768e+02,3.727354e-33
3.529591e+02,3.790532e-33
3.550476e+02,2.463485e-33
3.571423e+02,3.834075e-33
3.592431e+02,3.401382e-33
3.613501e+02,3.445632e-33
3.634633e+02,4.729736e-33
3.655826e+02,4.183547e-33
3.677081e+02,2.284597e-33
3.698397e+02,6.791662e-33
3.719775e+02,4.164515e-33
3.741215e+02,3.825277e-33
3.762716e+02,7.273067e-33
3.784279e+02,5.429892e-33
3.805903e+02,5.027044e-33
3.827589e+02,9.977906e-33
3.849337e+02,7.164394e-33
3.871146e+02,6.094700e-33
3.893017e+02,8.220556e-33
3.914949e+02,5.733994e-33
3.936943e+02,8.282106e-33
3.958999e+02,6.985273e-33
3.981116e+02,6.182936e-33
4.003295e+02,8.528040e-33
4.025536e+02,1.079660e-32
4.047838e+02,9.131016e-33
4.070201e+02,7.186875e-33
4.092627e+02,7.105432e-33
4.115114e+02,1.221351e-32
4.137662e+02,1.338710e-32
4.160272e+02,1.099533e-32
4.182944e+02,1.661880e-32
4.205677e+02,2.010209e-32
4.228472e+02,1.316600e-32
4.251329e+02,1.490986e-32
4.274247e+02,1.775249e-32
4.297227e+02,1.902951e-32
4.320268e+02,1.609661e-32
4.343371e+02,1.335674e-32
4.366536e+02,6.290372e-33
4.389762e+02,3.303316e-33
4.413050e+02,1.840441e-32
4.436399e+02,6.506269e-32
4.459810e+02,1.460401e-31
4.483283e+02,2.621466e-31
4.506817e+02,3.583608e-31
4.530413e+02,4.220890e-31
4.554071e+02,4.523954e-31
4.577790e+02,3.954054e-31
4.601570e+02,3.015351e-31
4.625413e+02,2.023466e-31
4.649317e+02,1.132394e-31
4.673282e+02,5.014579e-32
4.697309e+02,1.803354e-32
4.721398e+02,4.288914e-33
4.745548e+02,2.874972e-33
4.769760e+02,6.990390e-33
4.794034e+02,1.503159e-32
4.818369e+02,2.002838e-32
4.842766e+02,1.847891e-32
4.867224e+02,1.682246e-32
4.891744e+02,1.641618e-32
4.916326e+02,1.172540e-32
